,comment_text,comment_date,comment_time
0,耐心等中报,07-31 21:59,07-31
0,今天卖了，明天有机会接回来吗,07-31 22:02,07-31
0,"从天风证券的龙虎榜单来看,机构强势主封,其余游资良性换手,目前太平洋是券商龙一,天风证券是券商龙二,今天的证券行业主要博弈周末的利好消息,但是是否真的有消息,咱们也不知道,如果从板块的龙头效应来看,下周一太平洋必须缩量一字封死,低位的天风证券最起码缩量T字板或者加速板,一旦这两大龙头都没有出现“资金博弈”并且封死的话,那么证券行业是很难活下来的",07-31 22:03,07-31
0,明天还得下探，15.6附近买点，希望主力给点机会，今晚我先提前预置好买点，这波吃了17个点，如果明天能买到加差价20个点出去了，即使明天买了被套我也心甘情愿，感谢主力！,07-31 22:08,07-31
0,这次是券商发的力。如果真的是反转，最起码连拉三根大阳，让散户们踏空，可今天是冲高回落，看来大盘还得震荡。,07-31 22:10,07-31
0,尾盘券商炸板，明天肯定低开！,07-31 22:10,07-31
0,15.6到15.8之间补仓,07-31 22:16,07-31
0,来吧，暴风雨来的狠点,07-31 22:21,07-31
0,龙虎榜还没有呢就开始歇菜了,07-31 22:28,07-31
0,不用慌，利好来了,07-31 22:28,07-31
0,明天如果开盘直接冲上去，估计很多人惊呆了，今天下车的都上不了车了,07-31 22:31,07-31
0,与4月6日和之前的日线走势几乎一样，后面难道也要大跌吗？,07-31 22:31,07-31
0,今天K线像极了4月4号，接下来就是18层地狱？,07-31 22:36,07-31
0,不要慌永远好力来了加仓机会,07-31 22:37,07-31
0,看下月线，趋势来了谁都挡不住…,07-31 22:55,07-31
0,今天又做出了一个分时图极限T,07-31 22:57,07-31
0,今天的K线和4月4号好像，又要调整了，好害怕啊！,07-31 23:00,07-31
0,今天指数冲高回落，和上周五我的盘中文章预期的一样。我告诉大家不要在周一买在情绪高点。不过短期被套的朋友，不用担心，这是反弹行情中的正常情况。反弹没有结束，明天可能在上影线附近震荡，然后周三，周四，周五调整洗盘，下周继续反弹。有仓位的，拿好扶稳，别被洗出去。没有仓位，或者仓位轻的，逢低可以大胆的买。至于买什么？大金融等权重板块，在完成指数冲关任务后，也像我预期的那...,07-31 23:02,07-31
0,太平洋周末顶了一点，竞价结束后，自己的单子影子都没，那干脆撤单了。今天盘面看，龙二很明显就是天风证券了，这也符合盘前预判。早盘以为它会破板换手，赶紧顶了一些，不知下午是否会成交。1）白酒，茅台今天破年初新高，上升途中的首次阴线，估计外资有减仓动作，要么前期套住的机构选择减仓，这个板块应该还没结束，明天可以低吸水井坊。2）汽车板块，资金拉了小票海马和众泰汽车，形态...,07-31 23:08,07-31
0,150亿交易量,07-31 23:17,07-31
0,高手指点一下,07-31 23:23,07-31
0,这个是我7月27日的预言。东方财富从14.09冲到16.2元。明天会上攻到16.5元，请大家见证。,07-31 23:50,07-31
0,你上股市才能好,08-01 00:06,08-01
0,今天大盘收出一个高位十字星，上次讲到大盘就在下轨3160就应该大胆买，今天冲高回落，这里再上冲已差不多上轨，到达上轨就要回踩调整确认，调整后就再上涨目标给出多次3600点。,08-01 00:07,08-01
0,下周一（明天）券商板块的两个观点。第一个观点，延续涨势有望再收一阳，依据有：1，本周五巨阳是券商行情正式启动的标志，极其强劲的走势有一种上行的趋势惯性，不可能马上熄火；2，龙头太平洋大概率一字封板开盘，这对做多和稳定人气起到非常重要的作用。3，大盘9000多亿的成交量不能说明市场增量资金后继乏力，反而表明后市做多动能远没有释放出来。对券商板块来说，很多投资者对即将到来的券商牛市还没反应过来，还没有...,08-01 00:08,08-01
0,失业的我今天被你骗了进来，真的后悔,08-01 00:09,08-01
0,周末部门集体出行，去林中之城、粤港澳后花园、小马尔代夫之称的湖南郴州。去领略一下当年被贬郴州的文人骚客留下“郴江幸自绕郴山，为谁留下潇湘去”、“深窥沙可数，静捞水无摇”等百年传颂的诗词。一、盘后总结教训1、本周美股指数又冲今年新高，不得不服。A股本周也是强势反弹，创业板指上涨5.93%，触底反弹趋势明显。2、N阿特斯上周首发日卖出，本周暴涨50%，有点可惜，不过对于中签来说，盈利与否，当日也还是最...,08-01 00:20,08-01
0,都买的啥啊,08-01 00:46,08-01
0,八月看到18元，立贴为证,08-01 01:56,08-01
0,降低印花税，实行T加0，让我们和机构站在同一起跑线上,08-01 02:21,08-01
0,我的帖呢,08-01 02:33,08-01
0,600778怎么看，帮忙解读，老师,08-01 03:16,08-01
0,即将迎来最具爆发潜力的五匹汗血宝马！建议收藏细品！！！1.浪潮信息：现价：47.12元，总市值：693.7亿。核心概念：液冷+算力+AIGC。备注：国内最大的服务器制造商和服务器解决方案提供商，在AI计算，开放计算，云计算，边缘计算等新兴应用方面处于全球领先地位，引领着创新应用的发展和演进。公司近年来持续...,08-01 04:06,08-01
0,买股票发财了,08-01 05:36,08-01
0,转发,08-01 06:48,08-01
0,还是要相信国家意志。明天东方财富有两种可能，一是磨蹭半小时左右，然后拉升5%以上，二是整天都在盘整，个人觉得第一种可能性大些。,08-01 07:02,08-01
0,目标价30，坚定持有！,08-01 07:02,08-01
0,破16以下加仓，越跌越买。,08-01 07:17,08-01
0,16.19清仓了,08-01 07:22,08-01
0,芒格说，价值投资是普世智慧的一个分支，我认为，其“普世”的地方在于，不仅能够让我们认清商业世界的本质和常识，也能够让我们对世俗生活和人性的洞察长有一双“穿透”的眼睛。,08-01 07:31,08-01
0,今天高开低走，也有可能高开高走，但是不排除低走低走，当然低开高走也是有可能的,08-01 07:42,08-01
0,喜欢看我帖子的朋友，请注意添加关注：(点击头像，右上方能找到加关注。)以方便你下次观看。下次观看关注的人在股吧右上方：(我的股吧，我关注的人。)就能看到了。,08-01 07:46,08-01
0,欢迎主力为活跃市场继续努力，把西藏南路的市盈率做到翻倍，这样新股1000倍申购的市盈率就可以堂而皇之了！,08-01 07:47,08-01
0,东方财富这次价格回落是否能降到9元一股,08-01 07:51,08-01
0,昨天挂了16.8卖出，还是有点太贪心了，结果亏了两千多,08-01 07:59,08-01
0,周一牛回头，周二牛起跑,08-01 08:08,08-01
0,等13全仓买入,08-01 08:12,08-01
0,子弹已经准备好了，跌吧,08-01 08:19,08-01
0,散户集中营,08-01 08:21,08-01
0,本人此次建仓东财日期是2023年4月24日，持仓日期三个月零一周，交易日大概是65天，惭愧的是账户亏损高达64天，终于在上周五也是第65天账户翻红，倒也难能可贵。此次建仓东财由于股份数不多，买入的盈利目标也不大，我的目标是盈利2000块，至今目标已实现，所以股票也成功卖出，留下了最后一千股，是这么打算的：如果股票掉头向下，那么清仓锁住利润：如果股票继续涨，那么暂...,08-01 08:22,08-01
