,good_matches_day,good_matches_num,bad_matches_day,bad_matches_num,date,time
0,[],0,[],0,07-31 21:59,07-31
1,['卖'],1,[],0,07-31 22:02,07-31
2,[],0,['利好'],1,07-31 22:03,07-31
3,['被套'],1,"['买', '买']",2,07-31 22:08,07-31
4,[],0,[],0,07-31 22:10,07-31
5,[],0,[],0,07-31 22:10,07-31
6,[],0,[],0,07-31 22:16,07-31
7,[],0,[],0,07-31 22:21,07-31
8,[],0,['利好'],1,07-31 22:28,07-31
9,[],0,[],0,07-31 22:28,07-31
10,[],0,[],0,07-31 22:31,07-31
11,['大跌'],1,[],0,07-31 22:31,07-31
12,[],0,[],0,07-31 22:36,07-31
13,[],0,[],0,07-31 22:37,07-31
14,[],0,[],0,07-31 22:55,07-31
15,[],0,[],0,07-31 22:57,07-31
16,[],0,[],0,07-31 23:00,07-31
17,['被套'],1,"['买', '买', '买']",3,07-31 23:02,07-31
18,"['阴线', '套住']",2,[],0,07-31 23:08,07-31
19,[],0,[],0,07-31 23:17,07-31
20,[],0,[],0,07-31 23:23,07-31
21,[],0,[],0,07-31 23:50,07-31
22,[],0,[],0,08-01 00:06,08-01
23,[],0,"['买', '上涨']",2,08-01 00:07,08-01
24,[],0,"['多', '多']",2,08-01 00:08,08-01
25,[],0,[],0,08-01 00:09,08-01
26,[],0,"['上涨', '暴涨', '盈利']",3,08-01 00:20,08-01
27,[],0,['买'],1,08-01 00:46,08-01
28,[],0,[],0,08-01 01:56,08-01
29,[],0,[],0,08-01 02:21,08-01
30,[],0,[],0,08-01 02:33,08-01
31,[],0,[],0,08-01 03:16,08-01
32,[],0,['开放'],1,08-01 04:06,08-01
33,[],0,['买'],1,08-01 05:36,08-01
34,[],0,[],0,08-01 06:48,08-01
35,[],0,[],0,08-01 07:02,08-01
36,[],0,['拉升'],1,08-01 07:02,08-01
37,[],0,['买'],1,08-01 07:17,08-01
38,[],0,[],0,08-01 07:22,08-01
39,[],0,[],0,08-01 07:31,08-01
40,['高开低走'],1,[],0,08-01 07:42,08-01
41,[],0,[],0,08-01 07:46,08-01
42,[],0,[],0,08-01 07:47,08-01
43,[],0,[],0,08-01 07:51,08-01
44,['亏了'],1,[],0,08-01 07:59,08-01
45,[],0,[],0,08-01 08:08,08-01
46,[],0,[],0,08-01 08:12,08-01
47,['跌'],1,[],0,08-01 08:19,08-01
48,[],0,[],0,08-01 08:21,08-01
49,['亏损'],1,"['盈利', '盈利', '涨']",3,08-01 08:22,08-01
50,[],0,[],0,08-01 08:26,08-01
51,[],0,[],0,08-01 08:27,08-01
52,[],0,"['涨', '看涨', '涨幅']",3,08-01 08:31,08-01
53,[],0,[],0,08-01 08:35,08-01
54,[],0,[],0,08-01 08:40,08-01
55,['流出'],1,"['增加', '流入', '涨幅']",3,08-01 08:41,08-01
56,[],0,[],0,08-01 08:44,08-01
57,['被套'],1,[],0,08-01 08:50,08-01
58,[],0,['流入'],1,08-01 08:53,08-01
59,"['利空', '流出', '出货']",3,"['利好', '利好']",2,08-01 08:55,08-01
60,[],0,[],0,08-01 08:58,08-01
61,[],0,[],0,08-01 09:00,08-01
62,['流出'],1,[],0,08-01 09:02,08-01
63,[],0,[],0,08-01 09:06,08-01
64,[],0,[],0,08-01 09:07,08-01
65,[],0,[],0,08-01 09:08,08-01
66,['出货'],1,[],0,08-01 09:09,08-01
67,"['收紧', '收紧']",2,[],0,08-01 09:09,08-01
68,[],0,[],0,08-01 09:11,08-01
69,[],0,[],0,08-01 09:11,08-01
70,[],0,[],0,08-01 09:11,08-01
71,[],0,[],0,08-01 09:14,08-01
72,['收紧'],1,[],0,08-01 09:16,08-01
73,[],0,"['买', '买', '买', '买', '买']",5,08-01 09:18,08-01
74,[],0,[],0,08-01 09:21,08-01
75,['跌'],1,[],0,08-01 09:23,08-01
76,[],0,[],0,08-01 09:24,08-01
77,['跌停'],1,[],0,08-01 09:24,08-01
78,['出货'],1,[],0,08-01 09:25,08-01
79,[],0,[],0,08-01 09:27,08-01
80,[],0,[],0,08-01 09:28,08-01
81,['暴跌'],1,[],0,08-01 09:28,08-01
82,['跌'],1,[],0,08-01 09:28,08-01
83,[],0,[],0,08-01 09:29,08-01
84,[],0,[],0,08-01 09:29,08-01
85,[],0,[],0,08-01 09:30,08-01
86,"['减持', '亏损', '减持', '亏损']",4,[],0,08-01 09:30,08-01
87,[],0,[],0,08-01 09:31,08-01
88,['下跌'],1,[],0,08-01 09:32,08-01
89,[],0,[],0,08-01 09:32,08-01
90,[],0,['补'],1,08-01 09:33,08-01
91,[],0,[],0,08-01 09:35,08-01
92,[],0,[],0,08-01 09:35,08-01
93,[],0,[],0,08-01 09:36,08-01
94,[],0,[],0,08-01 09:38,08-01
95,[],0,[],0,08-01 09:39,08-01
96,[],0,['涨'],1,08-01 09:39,08-01
97,[],0,[],0,08-01 09:42,08-01
98,[],0,[],0,08-01 09:42,08-01
99,[],0,[],0,08-01 09:42,08-01
100,[],0,[],0,08-01 09:42,08-01
101,[],0,['多'],1,08-01 09:43,08-01
102,[],0,[],0,08-01 09:43,08-01
103,['出货'],1,[],0,08-01 09:43,08-01
104,[],0,['利好'],1,08-01 09:44,08-01
105,[],0,[],0,08-01 09:44,08-01
106,[],0,[],0,08-01 09:44,08-01
107,[],0,[],0,08-01 09:45,08-01
108,"['垃圾', '垃圾']",2,[],0,08-01 09:45,08-01
109,[],0,[],0,08-01 09:45,08-01
110,['做空'],1,[],0,08-01 09:45,08-01
111,[],0,['涨'],1,08-01 09:46,08-01
112,[],0,[],0,08-01 09:46,08-01
113,[],0,[],0,08-01 09:46,08-01
114,[],0,[],0,08-01 09:47,08-01
115,['出货'],1,['涨'],1,08-01 09:47,08-01
116,[],0,[],0,08-01 09:47,08-01
117,['垃圾'],1,[],0,08-01 09:48,08-01
118,"['出货', '流出']",2,[],0,08-01 09:48,08-01
119,[],0,['多'],1,08-01 09:49,08-01
120,['出货'],1,[],0,08-01 09:49,08-01
121,['流出'],1,[],0,08-01 09:49,08-01
122,[],0,[],0,08-01 09:49,08-01
123,[],0,[],0,08-01 09:49,08-01
124,[],0,[],0,08-01 09:50,08-01
125,[],0,[],0,08-01 09:50,08-01
126,[],0,[],0,08-01 09:50,08-01
127,"['垃圾', '下跌']",2,['上涨'],1,08-01 09:50,08-01
128,[],0,[],0,08-01 09:51,08-01
129,[],0,[],0,08-01 09:52,08-01
130,['出货'],1,[],0,08-01 09:54,08-01
131,[],0,[],0,08-01 09:55,08-01
132,[],0,[],0,08-01 09:56,08-01
133,['看空'],1,[],0,08-01 09:56,08-01
134,[],0,[],0,08-01 09:58,08-01
135,['出货'],1,[],0,08-01 10:00,08-01
136,[],0,[],0,08-01 10:01,08-01
137,[],0,[],0,08-01 10:01,08-01
