,comment_text,comment_date,comment_time
0,该起来了，不是回落的时候了,09-01 00:20,09-01
0,东财的利润也太高了吧！五十的营收其中有四十是利润，试问市场里有几个这么能打的,09-01 00:21,09-01
0,都说了！人家回购的意思是一年内不允许涨过22块！你们确认为人家买自家股票！,09-01 00:23,09-01
0,要利好有利好，该回购也回购，公司也盈利。实在想不出跌的理由。到底差哪了？,09-01 00:27,09-01
0,今天有反抽,09-01 00:41,09-01
0,我其实接触股市时间挺久的，最开始了解股市是在15年，那一年真疯狂，夸张到路边的买菜大妈都在讨论股票，加上身边也有好多朋友在炒股，平时聚会大家都在讨论股票，从刚开始的懵懵懂懂到最后发现有利可图，吸引我关注的的一个点就是：“股市能实现财富自由，日赚10万不是梦”，后面也确实验证了，15年牛市多夸张想必经历过的人都懂，好多人一天几万几万的入账。很可惜，那时候我刚接触股市，加上身上确实没钱，就只能眼巴巴的...,09-01 01:04,09-01
0,减持了多少,09-01 01:22,09-01
0,深股卖了一周了,09-01 01:43,09-01
0,都结束了！这人气，还那么高！不知道都在想啥呢！……,09-01 01:47,09-01
0,成本16，9700股了，明天能走吗？,09-01 02:37,09-01
0,18.2的本要等多久,09-01 03:21,09-01
0,//,09-01 03:24,09-01
0,周一高开日赚100多万没跑，真够后悔的，导致本月巨亏,09-01 03:46,09-01
0,盟主好,09-01 04:13,09-01
0,转发,09-01 04:23,09-01
0,观点认可，但个股还得看板块龙头。,09-01 04:27,09-01
0,666,09-01 04:41,09-01
0,转发,09-01 04:59,09-01
0,大股东说，一年内要花费5～10亿不高于22元增持。俺的理解就是，一年内，东方财富的股价能到22元。当前，15.87，按16元计算。（22-16）/16=0.375。一年内收益37.5%，俺知足了。其他的，关于什么技术面、基本面、政策面、消息面、等等，俺不想看，看了也白看，看也看不懂。反正，俺有信心！,09-01 05:35,09-01
0,继续站岗，又是绿茫茫的一片,09-01 05:37,09-01
0,很多人都带着上帝视角来看问题都是马后炮，券商股能够带领大盘上涨的底层逻辑有以下几点：1，上周末的政策利好最直接的收益者应该是券商股，因为融券保证金的下降相当于扩大了券商股的资本金，在股本不变的情况下增加了融资融券的业务量这对提升证券股的收益是实实在在的利好。2，国常会的关于活跃资本市场的政策对于券商股而言也是实实在在的利好，活跃的资本市场最直接的表现是市场成交量...,09-01 05:51,09-01
0,香港万得通讯社报道，8月31日，东方财富、中信证券、太平洋、天风证券、指南针、华泰证券、财达证券、中金公司等普遍低迷，主力资金同步撤出。,09-01 06:01,09-01
0,转发,09-01 06:17,09-01
0,学习才是财富的本质,09-01 06:34,09-01
0,补了缺口再入手,09-01 07:06,09-01
0,受周末重磅政策利好，8月28日开盘，A股三大股指集体高开，沪指、深成指、创业板指涨超5%。作为牛市旗手，券商股更是集体“炸裂”。然而，A股的欢腾时光并没有维系太长时间！下午开盘，,09-01 07:09,09-01
0,做个记录,09-01 07:14,09-01
0,别炒股票了，股票不能做空，炒期货做空赚钱。。,09-01 07:18,09-01
0,亏60个点了今年还能回本吗,09-01 07:22,09-01
0,庄家在低吸,09-01 07:55,09-01
0,A股三大指数收报:3119.88，10418.21，2102.58。两市成交额8292亿，比前日减少1551亿，北上资金流出42.96亿，南下资金流入28.31亿。涨跌停家38/9，涨跌家1664/3165。电子化学品，中药，医药商业，半导体及元件涨幅居前。,09-01 07:57,09-01
0,18.4这一套，不知得多久！哈哈,09-01 08:16,09-01
0,本月结束了，明天即将进入九月份，俗话说金九银十，同时也是消费电子旺季，祝点赞者爆赚！,09-01 08:17,09-01
0,亏60个点了今年还能回本吗,09-01 08:18,09-01
0,20230901,09-01 08:19,09-01
0,什么时候才能涨上去啊,09-01 08:23,09-01
0,该起来了，不是回落的时候了,09-01 08:36,09-01
0,2022年打了一年仗，换将128员，盈亏相抵33.4万元后，交税6.6万元，实际自己只盈利63000元，多么痛的领悟，证券从赚五万后倒亏-2万元这个是计划外的回吐，再见2022，你好2023。我要更加稳定，稳扎稳打，积少成多，见好就收。,09-01 08:46,09-01
0,9月开门红，财报业绩大幅增长，营业利润总额持续增加，开盘拉升，择机买入,09-01 08:47,09-01
0,这股不到12我是不买的,09-01 08:53,09-01
0,今日题材回暖，大蓝筹调整，资金流入低位半导体，华为概念，人工智能赛道方向，涨多跌少，市场情绪中等！早盘A50跳水也为证券调整指明了方向，近期领涨的锦龙，山西直接领衔扑地板。东财今日也缩量回踩，收出身怀六甲的阴孕线形态，底部孕线依旧孕育着希望！所有均线族全被踩在脚下，也是东财强势表现！图1和图2黄圈处标注东财在上升趋势中，只要20日均线走平或向上的状态，5日线和2...,09-01 09:10,09-01
0,东方财富，集中套牢盘基本都在17—20之间，发生在今年送股之前200亿成交量第二天最高价24元的样子、和这个星期一也是成交量200亿左右，当天最高股价18.4，套了这两波。这两次股价都是快速冲高回落，尤其是这个星期一，根本就搞不赢卖出。,09-01 09:13,09-01
0,跌到14.82元以下就是短中长线进场最佳位置。,09-01 09:14,09-01
0,今天终于不用再跌了,09-01 09:15,09-01
