,date,good_matches_day,bad_matches_day,good_rate,bad_rate,horizon
0,09-01,154,162,0.4873417721518987,0.5126582278481012,-8
1,09-02,30,33,0.47619047619047616,0.5238095238095238,-3
2,09-03,46,52,0.46938775510204084,0.5306122448979592,-6
3,09-04,117,130,0.47368421052631576,0.5263157894736842,-13
4,09-05,108,94,0.5346534653465347,0.46534653465346537,14
5,09-06,160,126,0.5594405594405595,0.4405594405594406,34
6,09-07,114,91,0.5560975609756098,0.44390243902439025,23
7,09-08,111,88,0.5577889447236181,0.44221105527638194,23
8,09-09,13,16,0.4482758620689655,0.5517241379310345,-3
9,09-10,18,31,0.3673469387755102,0.6326530612244898,-13
10,09-11,62,67,0.4806201550387597,0.5193798449612403,-5
