,good_matches_day,good_matches_num,bad_matches_day,bad_matches_num,date,time
0,[],0,[],0,09-01 00:20,09-01
1,[],0,[],0,09-01 00:21,09-01
2,[],0,['买'],1,09-01 00:23,09-01
3,['跌'],1,"['利好', '盈利']",2,09-01 00:27,09-01
4,[],0,[],0,09-01 00:41,09-01
5,[],0,"['赚', '多']",2,09-01 01:04,09-01
6,['减持'],1,[],0,09-01 01:22,09-01
7,['卖'],1,[],0,09-01 01:43,09-01
8,[],0,[],0,09-01 01:47,09-01
9,[],0,[],0,09-01 02:37,09-01
10,[],0,[],0,09-01 03:21,09-01
11,[],0,[],0,09-01 03:24,09-01
12,[],0,['赚'],1,09-01 03:46,09-01
13,[],0,[],0,09-01 04:13,09-01
14,[],0,[],0,09-01 04:23,09-01
15,[],0,[],0,09-01 04:27,09-01
16,[],0,[],0,09-01 04:41,09-01
17,[],0,[],0,09-01 04:59,09-01
18,[],0,[],0,09-01 05:35,09-01
19,[],0,[],0,09-01 05:37,09-01
20,[],0,"['上涨', '利好', '增加', '利好', '利好']",5,09-01 05:51,09-01
21,[],0,[],0,09-01 06:01,09-01
22,[],0,[],0,09-01 06:17,09-01
23,[],0,[],0,09-01 06:34,09-01
24,[],0,['补'],1,09-01 07:06,09-01
25,[],0,['利好'],1,09-01 07:09,09-01
26,[],0,[],0,09-01 07:14,09-01
27,"['做空', '做空']",2,[],0,09-01 07:18,09-01
28,['亏'],1,[],0,09-01 07:22,09-01
29,[],0,[],0,09-01 07:55,09-01
30,['流出'],1,"['流入', '涨幅']",2,09-01 07:57,09-01
31,[],0,[],0,09-01 08:16,09-01
32,[],0,['赚'],1,09-01 08:17,09-01
33,['亏'],1,[],0,09-01 08:18,09-01
34,[],0,[],0,09-01 08:19,09-01
35,[],0,['涨'],1,09-01 08:23,09-01
36,[],0,[],0,09-01 08:36,09-01
37,['亏'],1,"['盈利', '赚']",2,09-01 08:46,09-01
38,[],0,"['增加', '拉升']",2,09-01 08:47,09-01
39,[],0,['买'],1,09-01 08:53,09-01
40,[],0,['流入'],1,09-01 09:10,09-01
41,[],0,[],0,09-01 09:13,09-01
42,[],0,[],0,09-01 09:14,09-01
43,['跌'],1,[],0,09-01 09:15,09-01
44,[],0,[],0,09-01 09:16,09-01
45,[],0,[],0,09-01 09:16,09-01
46,[],0,[],0,09-01 09:16,09-01
47,['跌'],1,['多'],1,09-01 09:16,09-01
48,[],0,[],0,09-01 09:16,09-01
49,[],0,[],0,09-01 09:17,09-01
50,[],0,['买'],1,09-01 09:18,09-01
51,['砸'],1,[],0,09-01 09:18,09-01
52,['砸'],1,[],0,09-01 09:18,09-01
53,"['跌', '跌']",2,"['买', '涨']",2,09-01 09:19,09-01
